"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\entities\wages.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 2, 87
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\index.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\ui\index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\ui\selectedWageId.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"d:\Alexander\caja\my-app\src\features\payrolls\reducers\ui\wageForm.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 4, 56
"d:\Alexander\caja\my-app\src\features\payrolls\selectors\getSelectedWage.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 2, 50
"d:\Alexander\caja\my-app\src\features\payrolls\selectors\inputSelectors.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\Alexander\caja\my-app\src\features\payrolls\state\index.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 8, 56
"d:\Alexander\caja\my-app\src\features\transfers\components\PacientFieldset.tsx", "TypeScript React", 85, 0, 0, 0, 0, 0, 0, 9, 94
"d:\Alexander\caja\my-app\src\features\transfers\components\TransferForm.tsx", "TypeScript React", 310, 0, 0, 0, 0, 0, 0, 18, 328
"d:\Alexander\caja\my-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 1, 17
"d:\Alexander\caja\my-app\src\index.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 6, 3, 24
"d:\Alexander\caja\my-app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Alexander\caja\my-app\src\polyfills\String.js", "JavaScript", 0, 0, 8, 0, 0, 0, 8, 4, 20
"d:\Alexander\caja\my-app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Alexander\caja\my-app\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Alexander\caja\my-app\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"d:\Alexander\caja\my-app\src\simple-sidebar.css", "CSS", 0, 0, 0, 0, 42, 0, 11, 10, 63
"d:\Alexander\caja\my-app\src\store.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 5, 6, 38
"d:\Alexander\caja\my-app\src\useCallbackRef.tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 2246, 1421, 8, 3, 347, 1, 607, 321, 4954
